'Reason for absence','Month of absence','Day of the week',Seasons,'Transportation expense','Distance from Residence to Work','Service time',Age,'Work load Average/day ','Hit target','Disciplinary failure',Education,Son,'Social drinker','Social smoker',Pet,Weight,Height,'Body mass index','Absenteeism time in hours'
'\'(25.2-inf)\'','\'(6-7.2]\'','\'(2.8-3.2]\'','\'(-inf-1.3]\'','\'(280-307]\'','\'(33.2-37.9]\'','\'(12.2-15]\'','\'(30.1-33.2]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(28.5-30.4]\'',4
'\'(-inf-2.8]\'','\'(6-7.2]\'','\'(2.8-3.2]\'','\'(-inf-1.3]\'','\'(-inf-145]\'','\'(9.7-14.4]\'','\'(17.8-20.6]\'','\'(48.7-51.8]\'','239,554','\'(96.2-98.1]\'','\'(0.9-inf)\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(97.6-102.8]\'','\'(176.2-179.5]\'','\'(30.4-32.3]\'',0
'\'(22.4-25.2]\'','\'(6-7.2]\'','\'(3.6-4]\'','\'(-inf-1.3]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(5.6-8.4]\'','\'(6-7.2]\'','\'(4.8-5.2]\'','\'(-inf-1.3]\'','\'(253-280]\'','\'(-inf-9.7]\'','\'(12.2-15]\'','\'(36.3-39.4]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.8]\'','\'(66.4-71.6]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',4
'\'(22.4-25.2]\'','\'(6-7.2]\'','\'(4.8-5.2]\'','\'(-inf-1.3]\'','\'(280-307]\'','\'(33.2-37.9]\'','\'(12.2-15]\'','\'(30.1-33.2]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(28.5-30.4]\'',2
'\'(22.4-25.2]\'','\'(6-7.2]\'','\'(5.6-inf)\'','\'(-inf-1.3]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(19.6-22.4]\'','\'(6-7.2]\'','\'(5.6-inf)\'','\'(-inf-1.3]\'','\'(334-361]\'','\'(47.3-inf)\'','\'(-inf-3.8]\'','\'(-inf-30.1]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(3.2-4]\'','\'(76.8-82]\'','\'(169.6-172.9]\'','\'(26.6-28.5]\'',8
'\'(22.4-25.2]\'','\'(6-7.2]\'','\'(5.6-inf)\'','\'(-inf-1.3]\'','\'(253-280]\'','\'(47.3-inf)\'','\'(9.4-12.2]\'','\'(33.2-36.3]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(3.6-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(61.2-66.4]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',4
'\'(16.8-19.6]\'','\'(6-7.2]\'','\'(-inf-2.4]\'','\'(-inf-1.3]\'','\'(145-172]\'','\'(9.7-14.4]\'','\'(12.2-15]\'','\'(33.2-36.3]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(92.4-97.6]\'','\'(192.7-inf)\'','\'(24.7-26.6]\'',40
'\'(19.6-22.4]\'','\'(6-7.2]\'','\'(-inf-2.4]\'','\'(-inf-1.3]\'','\'(226-253]\'','\'(9.7-14.4]\'','\'(12.2-15]\'','\'(36.3-39.4]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(2.8-3.1]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(28.5-30.4]\'',8
'\'(-inf-2.8]\'','\'(6-7.2]\'','\'(-inf-2.4]\'','\'(-inf-1.3]\'','\'(253-280]\'','\'(47.3-inf)\'','\'(9.4-12.2]\'','\'(33.2-36.3]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(3.6-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(61.2-66.4]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',8
'\'(-inf-2.8]\'','\'(6-7.2]\'','\'(2.8-3.2]\'','\'(-inf-1.3]\'','\'(253-280]\'','\'(47.3-inf)\'','\'(9.4-12.2]\'','\'(33.2-36.3]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(3.6-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(61.2-66.4]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',8
'\'(8.4-11.2]\'','\'(6-7.2]\'','\'(3.6-4]\'','\'(-inf-1.3]\'','\'(253-280]\'','\'(47.3-inf)\'','\'(9.4-12.2]\'','\'(33.2-36.3]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(3.6-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(61.2-66.4]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',8
'\'(8.4-11.2]\'','\'(6-7.2]\'','\'(3.6-4]\'','\'(-inf-1.3]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',1
