1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
'\'(2.5-inf)\'','\'(103.2-122.3]\'',alfa-romero,gas,std,two,convertible,rwd,front,'\'(-inf-90.03]\'','\'(167.9-174.6]\'','\'(63.9-65.1]\'','\'(-inf-49]\'','\'(2519.2-2777]\'',dohc,four,'\'(114-140.5]\'',mpfi,'\'(3.38-3.52]\'','\'(2.49-2.7]\'','\'(8.6-10.2]\'','\'(96-120]\'','\'(4885-5130]\'','\'(20.2-23.8]\'','\'(23.6-27.4]\'',13495
'\'(2.5-inf)\'','\'(103.2-122.3]\'',alfa-romero,gas,std,two,convertible,rwd,front,'\'(-inf-90.03]\'','\'(167.9-174.6]\'','\'(63.9-65.1]\'','\'(-inf-49]\'','\'(2519.2-2777]\'',dohc,four,'\'(114-140.5]\'',mpfi,'\'(3.38-3.52]\'','\'(2.49-2.7]\'','\'(8.6-10.2]\'','\'(96-120]\'','\'(4885-5130]\'','\'(20.2-23.8]\'','\'(23.6-27.4]\'',16500
'\'(0.5-1]\'','\'(103.2-122.3]\'',alfa-romero,gas,std,two,hatchback,rwd,front,'\'(93.46-96.89]\'','\'(167.9-174.6]\'','\'(65.1-66.3]\'','\'(51.4-52.6]\'','\'(2777-3034.8]\'',ohcv,six,'\'(140.5-167]\'',mpfi,'\'(-inf-2.68]\'','\'(3.33-3.54]\'','\'(8.6-10.2]\'','\'(144-168]\'','\'(4885-5130]\'','\'(16.6-20.2]\'','\'(23.6-27.4]\'',16500
'\'(1.5-2]\'','\'(160.5-179.6]\'',audi,gas,std,four,sedan,fwd,front,'\'(96.89-100.32]\'','\'(174.6-181.3]\'','\'(65.1-66.3]\'','\'(53.8-55]\'','\'(2261.4-2519.2]\'',ohc,four,'\'(87.5-114]\'',mpfi,'\'(3.1-3.24]\'','\'(3.33-3.54]\'','\'(8.6-10.2]\'','\'(96-120]\'','\'(5375-5620]\'','\'(23.8-27.4]\'','\'(27.4-31.2]\'',13950
'\'(1.5-2]\'','\'(160.5-179.6]\'',audi,gas,std,four,sedan,4wd,front,'\'(96.89-100.32]\'','\'(174.6-181.3]\'','\'(66.3-67.5]\'','\'(53.8-55]\'','\'(2777-3034.8]\'',ohc,five,'\'(114-140.5]\'',mpfi,'\'(3.1-3.24]\'','\'(3.33-3.54]\'','\'(-inf-8.6]\'','\'(96-120]\'','\'(5375-5620]\'','\'(16.6-20.2]\'','\'(19.8-23.6]\'',17450
'\'(1.5-2]\'','\'(103.2-122.3]\'',audi,gas,std,two,sedan,fwd,front,'\'(96.89-100.32]\'','\'(174.6-181.3]\'','\'(65.1-66.3]\'','\'(52.6-53.8]\'','\'(2261.4-2519.2]\'',ohc,five,'\'(114-140.5]\'',mpfi,'\'(3.1-3.24]\'','\'(3.33-3.54]\'','\'(-inf-8.6]\'','\'(96-120]\'','\'(5375-5620]\'','\'(16.6-20.2]\'','\'(23.6-27.4]\'',15250
'\'(0.5-1]\'','\'(141.4-160.5]\'',audi,gas,std,four,sedan,fwd,front,'\'(103.75-107.18]\'','\'(188-194.7]\'','\'(71.1-inf)\'','\'(55-56.2]\'','\'(2777-3034.8]\'',ohc,five,'\'(114-140.5]\'',mpfi,'\'(3.1-3.24]\'','\'(3.33-3.54]\'','\'(-inf-8.6]\'','\'(96-120]\'','\'(5375-5620]\'','\'(16.6-20.2]\'','\'(23.6-27.4]\'',17710
'\'(0.5-1]\'','\'(103.2-122.3]\'',audi,gas,std,four,wagon,fwd,front,'\'(103.75-107.18]\'','\'(188-194.7]\'','\'(71.1-inf)\'','\'(55-56.2]\'','\'(2777-3034.8]\'',ohc,five,'\'(114-140.5]\'',mpfi,'\'(3.1-3.24]\'','\'(3.33-3.54]\'','\'(-inf-8.6]\'','\'(96-120]\'','\'(5375-5620]\'','\'(16.6-20.2]\'','\'(23.6-27.4]\'',18920
'\'(0.5-1]\'','\'(141.4-160.5]\'',audi,gas,turbo,four,sedan,fwd,front,'\'(103.75-107.18]\'','\'(188-194.7]\'','\'(71.1-inf)\'','\'(55-56.2]\'','\'(3034.8-3292.6]\'',ohc,five,'\'(114-140.5]\'',mpfi,'\'(3.1-3.24]\'','\'(3.33-3.54]\'','\'(-inf-8.6]\'','\'(120-144]\'','\'(5375-5620]\'','\'(16.6-20.2]\'','\'(19.8-23.6]\'',23875
'\'(-0.5-0]\'','\'(103.2-122.3]\'',audi,gas,turbo,two,hatchback,4wd,front,'\'(96.89-100.32]\'','\'(174.6-181.3]\'','\'(67.5-68.7]\'','\'(51.4-52.6]\'','\'(3034.8-3292.6]\'',ohc,five,'\'(114-140.5]\'',mpfi,'\'(3.1-3.24]\'','\'(3.33-3.54]\'','\'(-inf-8.6]\'','\'(144-168]\'','\'(5375-5620]\'','\'(-inf-16.6]\'','\'(19.8-23.6]\'',?
