anchor_ratio,trans_range,node_density,iterations,ale
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(39.8-48.4]\'',0.773546
'\'(14-16]\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(65.6-74.2]\'',0.911941
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(48.4-57]\'',0.814867
'\'(14-16]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(-inf-22.6]\'',1.435332
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(39.8-48.4]\'',1.265909
'\'(20-22]\'','\'(17.2-18.5]\'','\'(-inf-120]\'','\'(22.6-31.2]\'',1.457228
'\'(16-18]\'','\'(22.4-23.7]\'','\'(-inf-120]\'','\'(-inf-22.6]\'',1.912674
'\'(-inf-12]\'','\'(23.7-inf)\'','\'(180-200]\'','\'(-inf-22.6]\'',1.432541
'\'(28-inf)\'','\'(23.7-inf)\'','\'(-inf-120]\'','\'(39.8-48.4]\'',0.777449
'\'(18-20]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(22.6-31.2]\'',1.142195
'\'(14-16]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(-inf-22.6]\'',0.694361
'\'(16-18]\'','\'(22.4-23.7]\'','\'(-inf-120]\'','\'(-inf-22.6]\'',1.536522
'\'(16-18]\'','\'(22.4-23.7]\'','\'(-inf-120]\'','\'(22.6-31.2]\'',1.054097
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(65.6-74.2]\'',0.616869
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(48.4-57]\'',1.30609
'\'(20-22]\'','\'(17.2-18.5]\'','\'(-inf-120]\'','\'(-inf-22.6]\'',2.568407
'\'(12-14]\'','\'(15.9-17.2]\'','\'(180-200]\'','\'(39.8-48.4]\'',0.857073
'\'(14-16]\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(57-65.6]\'',1.360771
'\'(12-14]\'','\'(15.9-17.2]\'','\'(180-200]\'','\'(65.6-74.2]\'',0.761083
'\'(14-16]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(39.8-48.4]\'',1.400045
'\'(14-16]\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(39.8-48.4]\'',0.968579
'\'(14-16]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(65.6-74.2]\'',1.236996
'\'(18-20]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(-inf-22.6]\'',1.424042
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(48.4-57]\'',0.623687
'\'(18-20]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(22.6-31.2]\'',0.639524
'\'(26-28]\'','\'(-inf-13.3]\'','\'(280-inf)\'','\'(31.2-39.8]\'',0.527185
'\'(18-20]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(39.8-48.4]\'',0.583634
'\'(14-16]\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(91.4-inf)\'',0.83554
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(22.6-31.2]\'',0.856185
'\'(12-14]\'','\'(15.9-17.2]\'','\'(180-200]\'','\'(74.2-82.8]\'',0.694355
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(57-65.6]\'',0.610485
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(91.4-inf)\'',0.898056
'\'(14-16]\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(74.2-82.8]\'',0.579297
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(74.2-82.8]\'',0.58401
'\'(16-18]\'','\'(22.4-23.7]\'','\'(-inf-120]\'','\'(-inf-22.6]\'',1.427447
'\'(14-16]\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(74.2-82.8]\'',0.48997
'\'(14-16]\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(-inf-22.6]\'',1.972683
'\'(12-14]\'','\'(15.9-17.2]\'','\'(180-200]\'','\'(48.4-57]\'',0.852125
'\'(14-16]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(74.2-82.8]\'',0.987044
'\'(18-20]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(-inf-22.6]\'',0.777587
'\'(14-16]\'','\'(15.9-17.2]\'','\'(-inf-120]\'','\'(-inf-22.6]\'',2.178482
'\'(-inf-12]\'','\'(23.7-inf)\'','\'(180-200]\'','\'(22.6-31.2]\'',0.771504
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(65.6-74.2]\'',1.230928
'\'(14-16]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(39.8-48.4]\'',0.754537
'\'(14-16]\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(65.6-74.2]\'',0.538651
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(-inf-22.6]\'',0.955296
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(22.6-31.2]\'',1.068551
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(91.4-inf)\'',0.798877
'\'(14-16]\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(65.6-74.2]\'',0.726396
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(39.8-48.4]\'',0.997668
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(57-65.6]\'',1.088613
'\'(20-22]\'','\'(17.2-18.5]\'','\'(-inf-120]\'','\'(31.2-39.8]\'',1.374326
'\'(14-16]\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(22.6-31.2]\'',0.595384
'\'(14-16]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(48.4-57]\'',0.768374
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(39.8-48.4]\'',0.394029
'\'(26-28]\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(-inf-22.6]\'',2.263947
'\'(18-20]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(48.4-57]\'',1.101591
'\'(16-18]\'','\'(22.4-23.7]\'','\'(-inf-120]\'','\'(-inf-22.6]\'',0.982107
'\'(14-16]\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(74.2-82.8]\'',0.938538
'\'(24-26]\'','\'(23.7-inf)\'','\'(280-inf)\'','\'(-inf-22.6]\'',0.593627
'\'(28-inf)\'','\'(23.7-inf)\'','\'(-inf-120]\'','\'(65.6-74.2]\'',0.656106
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(82.8-91.4]\'',0.70333
'\'(14-16]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(65.6-74.2]\'',0.626509
'\'(12-14]\'','\'(15.9-17.2]\'','\'(180-200]\'','\'(-inf-22.6]\'',1.099576
'\'(14-16]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(82.8-91.4]\'',1.087561
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(-inf-22.6]\'',1.100997
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(57-65.6]\'',0.958957
'\'(12-14]\'','\'(15.9-17.2]\'','\'(180-200]\'','\'(91.4-inf)\'',0.587373
'\'(14-16]\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(57-65.6]\'',0.644283
'\'(14-16]\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(-inf-22.6]\'',0.755031
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(-inf-22.6]\'',1.720088
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(48.4-57]\'',0.445196
'\'(14-16]\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(22.6-31.2]\'',1.311226
'\'(18-20]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(48.4-57]\'',0.564918
'\'(14-16]\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(39.8-48.4]\'',0.640866
'\'(14-16]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(22.6-31.2]\'',1.36725
'\'(14-16]\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(82.8-91.4]\'',1.204298
'\'(14-16]\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(22.6-31.2]\'',0.95348
'\'(14-16]\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(-inf-22.6]\'',1.020653
'\'(14-16]\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(48.4-57]\'',0.933937
'\'(14-16]\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(48.4-57]\'',0.894478
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(74.2-82.8]\'',0.745118
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(-inf-22.6]\'',0.542909
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(74.2-82.8]\'',1.068204
'\'(14-16]\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(57-65.6]\'',0.623929
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(82.8-91.4]\'',1.068379
'\'(14-16]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(91.4-inf)\'',0.978801
'\'(20-22]\'','\'(17.2-18.5]\'','\'(-inf-120]\'','\'(22.6-31.2]\'',1.749734
'\'(14-16]\'','\'(15.9-17.2]\'','\'(-inf-120]\'','\'(-inf-22.6]\'',1.371081
'\'(20-22]\'','\'(17.2-18.5]\'','\'(-inf-120]\'','\'(39.8-48.4]\'',1.531824
'\'(14-16]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(57-65.6]\'',1.166177
'\'(12-14]\'','\'(15.9-17.2]\'','\'(180-200]\'','\'(82.8-91.4]\'',0.654629
'\'(14-16]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(22.6-31.2]\'',0.873341
'\'(14-16]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(74.2-82.8]\'',0.510575
'\'(24-26]\'','\'(23.7-inf)\'','\'(280-inf)\'','\'(31.2-39.8]\'',0.514113
'\'(14-16]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(57-65.6]\'',0.777209
'\'(14-16]\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(48.4-57]\'',0.591504
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(22.6-31.2]\'',0.824428
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(65.6-74.2]\'',0.736393
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(22.6-31.2]\'',0.450843
'\'(20-22]\'','\'(17.2-18.5]\'','\'(-inf-120]\'','\'(39.8-48.4]\'',1.188537
'\'(12-14]\'','\'(15.9-17.2]\'','\'(180-200]\'','\'(22.6-31.2]\'',0.991037
'\'(16-18]\'','\'(22.4-23.7]\'','\'(-inf-120]\'','\'(-inf-22.6]\'',1.287472
'\'(12-14]\'','\'(15.9-17.2]\'','\'(180-200]\'','\'(57-65.6]\'',0.899102
'\'(14-16]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(48.4-57]\'',1.17114
'\'(18-20]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(39.8-48.4]\'',1.234493
'\'(14-16]\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(39.8-48.4]\'',0.635426
