quarter,stock,date,open,high,low,close,volume,percent_change_price,percent_change_volume_over_last_wk,previous_weeks_volume,next_weeks_open,next_weeks_close,percent_change_next_weeks_price,days_to_next_dividend,percent_return_next_dividend
'\'(-inf-1.1]\'',AA,1/7/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(154090829.8-298462808.6]\'','\'(2.290691-4.821204]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-5.300848--2.770335]\'','\'(-inf-33.6]\'',0.182704
'\'(-inf-1.1]\'',AA,1/14/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(154090829.8-298462808.6]\'','\'(-5.300848--2.770335]\'','\'(-22.548965-16.335245]\'','\'(154090829.8-298462808.6]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-2.770335--0.239822]\'','\'(-inf-33.6]\'',0.187852
'\'(-inf-1.1]\'',AA,1/21/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(-inf-154090829.8]\'','\'(-2.770335--0.239822]\'','\'(-inf--22.548965]\'','\'(154090829.8-298462808.6]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-0.239822-2.290691]\'','\'(-inf-33.6]\'',0.189994
'\'(-inf-1.1]\'',AA,1/28/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(4.821204-7.351717]\'','\'(-inf-33.6]\'',0.185989
'\'(-inf-1.1]\'',AA,2/4/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(154090829.8-298462808.6]\'','\'(4.821204-7.351717]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-0.239822-2.290691]\'','\'(67.2-100.8]\'',0.175029
'\'(-inf-1.1]\'',AA,2/11/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(-inf--22.548965]\'','\'(154090829.8-298462808.6]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-2.770335--0.239822]\'','\'(67.2-100.8]\'',0.172712
'\'(-inf-1.1]\'',AA,2/18/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(-inf-154090829.8]\'','\'(-2.770335--0.239822]\'','\'(-inf--22.548965]\'','\'(-inf-154090829.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-2.770335--0.239822]\'','\'(67.2-100.8]\'',0.173611
'\'(-inf-1.1]\'',AA,2/25/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(-inf-154090829.8]\'','\'(-2.770335--0.239822]\'','\'(55.219454-94.103664]\'','\'(-inf-154090829.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-2.770335--0.239822]\'','\'(67.2-100.8]\'',0.179856
'\'(-inf-1.1]\'',AA,3/4/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(-inf-154090829.8]\'','\'(-2.770335--0.239822]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-5.300848--2.770335]\'','\'(67.2-100.8]\'',0.180941
'\'(-inf-1.1]\'',AA,3/11/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(-inf-154090829.8]\'','\'(-5.300848--2.770335]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-0.239822-2.290691]\'','\'(33.6-67.2]\'',0.187149
'\'(-inf-1.1]\'',AA,3/18/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(2.290691-4.821204]\'','\'(33.6-67.2]\'',0.18622
'\'(-inf-1.1]\'',AA,3/25/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(-inf-154090829.8]\'','\'(2.290691-4.821204]\'','\'(-inf--22.548965]\'','\'(-inf-154090829.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-0.239822-2.290691]\'','\'(33.6-67.2]\'',0.175541
'\'(-inf-1.1]\'',AXP,1/7/2011,'\'(42.894-59.046]\'','\'(43.46-59.72]\'','\'(41.884-57.626]\'','\'(42.532-58.538]\'','\'(-inf-154090829.8]\'','\'(2.290691-4.821204]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(42.838-58.997]\'','\'(43.324-59.726]\'','\'(2.290691-4.821204]\'','\'(67.2-100.8]\'',0.405771
'\'(-inf-1.1]\'',AXP,1/14/2011,'\'(42.894-59.046]\'','\'(43.46-59.72]\'','\'(41.884-57.626]\'','\'(42.532-58.538]\'','\'(-inf-154090829.8]\'','\'(2.290691-4.821204]\'','\'(-inf--22.548965]\'','\'(-inf-154090829.8]\'','\'(42.838-58.997]\'','\'(43.324-59.726]\'','\'(-0.239822-2.290691]\'','\'(67.2-100.8]\'',0.389189
'\'(-inf-1.1]\'',AXP,1/21/2011,'\'(42.894-59.046]\'','\'(43.46-59.72]\'','\'(41.884-57.626]\'','\'(42.532-58.538]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(16.335245-55.219454]\'','\'(-inf-154090829.8]\'','\'(42.838-58.997]\'','\'(43.324-59.726]\'','\'(-5.300848--2.770335]\'','\'(67.2-100.8]\'',0.391304
