X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
'\'(6.6-7.4]\'','\'(4.8-5.5]\'',mar,fri,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(93.17-178.44]\'','\'(-inf-5.61]\'','\'(5.31-8.42]\'','\'(49-57.5]\'','\'(5.8-6.7]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',oct,tue,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',oct,sat,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(11.53-14.64]\'','\'(32-40.5]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',0
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',mar,fri,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(-inf-93.17]\'','\'(5.61-11.22]\'','\'(5.31-8.42]\'','\'(91.5-inf)\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',mar,sun,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(93.17-178.44]\'','\'(5.61-11.22]\'','\'(8.42-11.53]\'','\'(91.5-inf)\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',0
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',aug,sun,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(434.25-519.52]\'','\'(11.22-16.83]\'','\'(20.86-23.97]\'','\'(23.5-32]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',aug,mon,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(434.25-519.52]\'','\'(5.61-11.22]\'','\'(23.97-27.08]\'','\'(23.5-32]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',aug,mon,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(5.31-8.42]\'','\'(83-91.5]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',0
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',sep,tue,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(11.53-14.64]\'','\'(57.5-66]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(4.8-5.5]\'',sep,sat,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(32-40.5]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
