'X1 transaction date','X2 house age','X3 distance to the nearest MRT station','X4 number of convenience stores','X5 latitude','X6 longitude','Y house price of unit area'
'\'(2012.8502-2012.9418]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(9-inf)\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'',37.9
'\'(2012.8502-2012.9418]\'','\'(17.52-21.9]\'','\'(-inf-669.846656]\'','\'(8-9]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',42.2
'\'(2013.4914-inf)\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'',47.3
'\'(2013.4914-inf)\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'',54.8
'\'(2012.7586-2012.8502]\'','\'(4.38-8.76]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',43.1
'\'(-inf-2012.7586]\'','\'(4.38-8.76]\'','\'(1962.774288-2609.238104]\'','\'(2-3]\'','\'(24.956826-24.965078]\'','\'(121.510626-121.5199]\'',32.1
'\'(-inf-2012.7586]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',40.3
'\'(2013.3998-2013.4914]\'','\'(17.52-21.9]\'','\'(-inf-669.846656]\'','\'(5-6]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',46.7
'\'(2013.4914-inf)\'','\'(30.66-35.04]\'','\'(5195.093368-5841.557184]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.482804-121.492078]\'',18.8
'\'(2013.3998-2013.4914]\'','\'(17.52-21.9]\'','\'(1316.310472-1962.774288]\'','\'(2-3]\'','\'(24.965078-24.97333]\'','\'(121.510626-121.5199]\'',22.1
'\'(2013.0334-2013.125]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(-inf-1]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',41.4
'\'(2013.3082-2013.3998]\'','\'(4.38-8.76]\'','\'(-inf-669.846656]\'','\'(8-9]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',58.1
'\'(2012.8502-2012.9418]\'','\'(8.76-13.14]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.965078-24.97333]\'','\'(121.529174-121.538448]\'',39.3
'\'(-inf-2012.7586]\'','\'(17.52-21.9]\'','\'(1962.774288-2609.238104]\'','\'(3-4]\'','\'(24.956826-24.965078]\'','\'(121.501352-121.510626]\'',23.8
'\'(2013.4914-inf)\'','\'(13.14-17.52]\'','\'(669.846656-1316.310472]\'','\'(3-4]\'','\'(24.989834-24.998086]\'','\'(121.529174-121.538448]\'',34.3
'\'(2013.4914-inf)\'','\'(35.04-39.42]\'','\'(-inf-669.846656]\'','\'(1-2]\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'',50.5
'\'(2013.2166-2013.3082]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(5-6]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',70.1
'\'(-inf-2012.7586]\'','\'(17.52-21.9]\'','\'(-inf-669.846656]\'','\'(-inf-1]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',37.4
'\'(2013.3998-2013.4914]\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',42.3
'\'(-inf-2012.7586]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',47.7
'\'(2013.3998-2013.4914]\'','\'(4.38-8.76]\'','\'(1962.774288-2609.238104]\'','\'(2-3]\'','\'(24.956826-24.965078]\'','\'(121.510626-121.5199]\'',29.3
'\'(2013.3998-2013.4914]\'','\'(8.76-13.14]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',51.6
'\'(2012.8502-2012.9418]\'','\'(13.14-17.52]\'','\'(1316.310472-1962.774288]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.547722-121.556996]\'',24.6
'\'(2013.0334-2013.125]\'','\'(8.76-13.14]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',47.9
'\'(2012.9418-2013.0334]\'','\'(39.42-inf)\'','\'(-inf-669.846656]\'','\'(3-4]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',38.8
'\'(2013.0334-2013.125]\'','\'(26.28-30.66]\'','\'(1316.310472-1962.774288]\'','\'(1-2]\'','\'(24.97333-24.981582]\'','\'(121.510626-121.5199]\'',27
'\'(-inf-2012.7586]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',56.2
'\'(2013.2166-2013.3082]\'','\'(8.76-13.14]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.948574-24.956826]\'','\'(121.538448-121.547722]\'',33.6
'\'(2013.4914-inf)\'','\'(17.52-21.9]\'','\'(-inf-669.846656]\'','\'(3-4]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',47
'\'(2013.0334-2013.125]\'','\'(4.38-8.76]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',57.1
'\'(2013.4914-inf)\'','\'(21.9-26.28]\'','\'(3902.165736-4548.629552]\'','\'(-inf-1]\'','\'(24.940322-24.948574]\'','\'(121.492078-121.501352]\'',22.1
'\'(-inf-2012.7586]\'','\'(26.28-30.66]\'','\'(669.846656-1316.310472]\'','\'(6-7]\'','\'(24.981582-24.989834]\'','\'(121.529174-121.538448]\'',25
