GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
'\'(-inf-1056.3]\'','\'(4.5-5.2]\'','\'(24.4-27.2]\'','\'(-inf-16.8]\'','\'(-inf-100002.7]\'','\'(132.39114-169.16832]\'','\'(-inf-0.004309]\'','\'(0.000175-0.00035]\'','\'(6-7]\'','\'(-inf-0.000302]\'','\'(-inf-0.000404]\'','\'(0.004325-0.005054]\'','\'(29.71432-52.76194]\'','\'(39.32145-54.5493]\'','\'(3.69082-5.34274]\'','\'(26.2-31.5]\'','\'(0.001091-0.001599]\'','\'(5.3-6.4]\'','\'(-inf-0.00009]\'',0
'\'(-inf-1056.3]\'','\'(4.5-5.2]\'','\'(21.6-24.4]\'','\'(-inf-16.8]\'','\'(-inf-100002.7]\'','\'(95.61396-132.39114]\'','\'(-inf-0.004309]\'','\'(0.000175-0.00035]\'','\'(3-4]\'','\'(-inf-0.000302]\'','\'(0.000404-0.000808]\'','\'(0.003596-0.004325]\'','\'(29.71432-52.76194]\'','\'(39.32145-54.5493]\'','\'(3.69082-5.34274]\'','\'(20.9-26.2]\'','\'(0.001091-0.001599]\'','\'(4.2-5.3]\'','\'(-inf-0.00009]\'',0.000208
'\'(-inf-1056.3]\'','\'(3.8-4.5]\'','\'(27.2-30]\'','\'(-inf-16.8]\'','\'(-inf-100002.7]\'','\'(58.83678-95.61396]\'','\'(-inf-0.004309]\'','\'(0.000175-0.00035]\'','\'(3-4]\'','\'(-inf-0.000302]\'','\'(0.000404-0.000808]\'','\'(0.002866-0.003596]\'','\'(29.71432-52.76194]\'','\'(69.77715-85.005]\'','\'(3.69082-5.34274]\'','\'(20.9-26.2]\'','\'(0.000584-0.001091]\'','\'(5.3-6.4]\'','\'(-inf-0.00009]\'',0.000189
'\'(-inf-1056.3]\'','\'(2.4-3.1]\'','\'(18.8-21.6]\'','\'(16.8-33.6]\'','\'(-inf-100002.7]\'','\'(95.61396-132.39114]\'','\'(-inf-0.004309]\'','\'(0.000175-0.00035]\'','\'(-inf-1]\'','\'(-inf-0.000302]\'','\'(0.000404-0.000808]\'','\'(0.003596-0.004325]\'','\'(-inf-29.71432]\'','\'(39.32145-54.5493]\'','\'(3.69082-5.34274]\'','\'(15.6-20.9]\'','\'(-inf-0.000584]\'','\'(6.4-7.5]\'','\'(-inf-0.00009]\'',0.000384
'\'(-inf-1056.3]\'','\'(2.4-3.1]\'','\'(30-32.8]\'','\'(-inf-16.8]\'','\'(-inf-100002.7]\'','\'(95.61396-132.39114]\'','\'(-inf-0.004309]\'','\'(0.000175-0.00035]\'','\'(1-2]\'','\'(-inf-0.000302]\'','\'(0.001212-0.001616]\'','\'(0.002137-0.002866]\'','\'(-inf-29.71432]\'','\'(54.5493-69.77715]\'','\'(8.64658-10.2985]\'','\'(10.3-15.6]\'','\'(0.001091-0.001599]\'','\'(3.1-4.2]\'','\'(-inf-0.00009]\'',0.000019
'\'(-inf-1056.3]\'','\'(1.7-2.4]\'','\'(24.4-27.2]\'','\'(-inf-16.8]\'','\'(-inf-100002.7]\'','\'(-inf-58.83678]\'','\'(-inf-0.004309]\'','\'(0.000175-0.00035]\'','\'(1-2]\'','\'(-inf-0.000302]\'','\'(-inf-0.000404]\'','\'(0.002137-0.002866]\'','\'(75.80956-98.85718]\'','\'(85.005-100.23285]\'','\'(-inf-3.69082]\'','\'(15.6-20.9]\'','\'(-inf-0.000584]\'','\'(5.3-6.4]\'','\'(-inf-0.00009]\'',0
'\'(-inf-1056.3]\'','\'(-inf-1.7]\'','\'(18.8-21.6]\'','\'(-inf-16.8]\'','\'(-inf-100002.7]\'','\'(-inf-58.83678]\'','\'(-inf-0.004309]\'','\'(-inf-0.000175]\'','\'(5-6]\'','\'(-inf-0.000302]\'','\'(-inf-0.000404]\'','\'(0.001408-0.002137]\'','\'(75.80956-98.85718]\'','\'(85.005-100.23285]\'','\'(3.69082-5.34274]\'','\'(10.3-15.6]\'','\'(-inf-0.000584]\'','\'(4.2-5.3]\'','\'(-inf-0.00009]\'',0
'\'(-inf-1056.3]\'','\'(6.6-7.3]\'','\'(-inf-18.8]\'','\'(33.6-50.4]\'','\'(-inf-100002.7]\'','\'(205.9455-242.72268]\'','\'(0.008618-0.012927]\'','\'(0.000526-0.000701]\'','\'(5-6]\'','\'(0.000906-0.001208]\'','\'(0.001212-0.001616]\'','\'(0.004325-0.005054]\'','\'(-inf-29.71432]\'','\'(39.32145-54.5493]\'','\'(5.34274-6.99466]\'','\'(42.1-47.4]\'','\'(0.002106-0.002613]\'','\'(8.6-9.7]\'','\'(0.00009-0.00018]\'',0.000249
'\'(-inf-1056.3]\'','\'(3.8-4.5]\'','\'(18.8-21.6]\'','\'(-inf-16.8]\'','\'(-inf-100002.7]\'','\'(95.61396-132.39114]\'','\'(-inf-0.004309]\'','\'(0.000526-0.000701]\'','\'(1-2]\'','\'(-inf-0.000302]\'','\'(0.000404-0.000808]\'','\'(0.005054-0.005783]\'','\'(29.71432-52.76194]\'','\'(39.32145-54.5493]\'','\'(-inf-3.69082]\'','\'(26.2-31.5]\'','\'(0.000584-0.001091]\'','\'(6.4-7.5]\'','\'(0.000271-0.000361]\'',0.00047
'\'(-inf-1056.3]\'','\'(3.8-4.5]\'','\'(-inf-18.8]\'','\'(16.8-33.6]\'','\'(-inf-100002.7]\'','\'(132.39114-169.16832]\'','\'(0.004309-0.008618]\'','\'(0.00035-0.000526]\'','\'(7-8]\'','\'(-inf-0.000302]\'','\'(-inf-0.000404]\'','\'(0.002866-0.003596]\'','\'(-inf-29.71432]\'','\'(39.32145-54.5493]\'','\'(5.34274-6.99466]\'','\'(26.2-31.5]\'','\'(0.001091-0.001599]\'','\'(5.3-6.4]\'','\'(-inf-0.00009]\'',0
