1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRASS,'\'(102.2-127.5]\'','\'(179-203]\'','\'All\'','\'(-inf-0.033333]\'','\'(-inf-0.022222]\'','\'(-inf-2.922222]\'','\'(-inf-99.17184]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(-inf-14.344444]\'','\'(-inf-13.711111]\'','\'(-inf-15.088889]\'','\'(14.255556-28.511112]\'','\'(-7.977778--2.022222]\'','\'(-inf--3.000001]\'','\'(12.955555-18.81111]\'','\'(15.088889-30.177778]\'','\'(0.5-0.6]\'',1.910864
GRASS,'\'(76.9-102.2]\'','\'(179-203]\'','\'All\'','\'(-inf-0.033333]\'','\'(-inf-0.022222]\'','\'(-inf-2.922222]\'','\'(-inf-99.17184]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(-inf-14.344444]\'','\'(-inf-13.711111]\'','\'(-inf-15.088889]\'','\'(14.255556-28.511112]\'','\'(-7.977778--2.022222]\'','\'(-inf--3.000001]\'','\'(12.955555-18.81111]\'','\'(15.088889-30.177778]\'','\'(0.4-0.5]\'',1.941465
GRASS,'\'(203.4-228.7]\'','\'(227-inf)\'','\'All\'','\'(-inf-0.033333]\'','\'(-inf-0.022222]\'','\'(2.922222-5.844444]\'','\'(-inf-99.17184]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(-inf-14.344444]\'','\'(-inf-13.711111]\'','\'(-inf-15.088889]\'','\'(14.255556-28.511112]\'','\'(-7.977778--2.022222]\'','\'(-inf--3.000001]\'','\'(12.955555-18.81111]\'','\'(15.088889-30.177778]\'','\'(0.4-0.5]\'',1.987902
GRASS,'\'(26.3-51.6]\'','\'(227-inf)\'','\'All\'','\'(-inf-0.033333]\'','\'(-inf-0.022222]\'','\'(-inf-2.922222]\'','\'(-inf-99.17184]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(-inf-14.344444]\'','\'(-inf-13.711111]\'','\'(-inf-15.088889]\'','\'(14.255556-28.511112]\'','\'(-7.977778--2.022222]\'','\'(-inf--3.000001]\'','\'(12.955555-18.81111]\'','\'(15.088889-30.177778]\'','\'(0.5-0.6]\'',1.875362
GRASS,'\'(76.9-102.2]\'','\'(179-203]\'','\'All\'','\'(-inf-0.033333]\'','\'(-inf-0.022222]\'','\'(-inf-2.922222]\'','\'(-inf-99.17184]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(14.344444-28.688888]\'','\'(13.711111-27.422222]\'','\'(-inf-15.088889]\'','\'(14.255556-28.511112]\'','\'(-7.977778--2.022222]\'','\'(-inf--3.000001]\'','\'(12.955555-18.81111]\'','\'(15.088889-30.177778]\'','\'(0.4-0.5]\'',1.863654
GRASS,'\'(152.8-178.1]\'','\'(203-227]\'','\'All\'','\'(-inf-0.033333]\'','\'(-inf-0.022222]\'','\'(-inf-2.922222]\'','\'(-inf-99.17184]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(-inf-14.344444]\'','\'(-inf-13.711111]\'','\'(-inf-15.088889]\'','\'(14.255556-28.511112]\'','\'(-7.977778--2.022222]\'','\'(-inf--3.000001]\'','\'(12.955555-18.81111]\'','\'(15.088889-30.177778]\'','\'(0.5-0.6]\'',1.877146
GRASS,'\'(51.6-76.9]\'','\'(203-227]\'','\'All\'','\'(-inf-0.033333]\'','\'(-inf-0.022222]\'','\'(-inf-2.922222]\'','\'(-inf-99.17184]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(14.344444-28.688888]\'','\'(-inf-13.711111]\'','\'(-inf-15.088889]\'','\'(14.255556-28.511112]\'','\'(-7.977778--2.022222]\'','\'(-inf--3.000001]\'','\'(12.955555-18.81111]\'','\'(15.088889-30.177778]\'','\'(0.4-0.5]\'',1.860191
GRASS,'\'(26.3-51.6]\'','\'(227-inf)\'','\'All\'','\'(0.1-0.133333]\'','\'(-inf-0.022222]\'','\'(-inf-2.922222]\'','\'(-inf-99.17184]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(14.344444-28.688888]\'','\'(13.711111-27.422222]\'','\'(-inf-15.088889]\'','\'(14.255556-28.511112]\'','\'(-2.022222-3.933333]\'','\'(-inf--3.000001]\'','\'(7.099999-12.955555]\'','\'(15.088889-30.177778]\'','\'(0.3-0.4]\'',1.783512
GRASS,'\'(26.3-51.6]\'','\'(227-inf)\'','\'All\'','\'(-inf-0.033333]\'','\'(-inf-0.022222]\'','\'(-inf-2.922222]\'','\'(-inf-99.17184]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(14.344444-28.688888]\'','\'(-inf-13.711111]\'','\'(-inf-15.088889]\'','\'(14.255556-28.511112]\'','\'(-7.977778--2.022222]\'','\'(-inf--3.000001]\'','\'(12.955555-18.81111]\'','\'(15.088889-30.177778]\'','\'(0.4-0.5]\'',1.950405
GRASS,'\'(-inf-26.3]\'','\'(227-inf)\'','\'All\'','\'(-inf-0.033333]\'','\'(-inf-0.022222]\'','\'(-inf-2.922222]\'','\'(-inf-99.17184]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(-inf-14.344444]\'','\'(-inf-13.711111]\'','\'(-inf-15.088889]\'','\'(14.255556-28.511112]\'','\'(-7.977778--2.022222]\'','\'(-inf--3.000001]\'','\'(12.955555-18.81111]\'','\'(15.088889-30.177778]\'','\'(0.4-0.5]\'',2.099905
