2,3,4,5,6,7,8,9,10
'\'(0.555-0.644]\'','\'(0.565-0.652]\'','\'(0.447-0.526]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',MIT
'\'(0.377-0.466]\'','\'(0.652-0.739]\'','\'(0.447-0.526]\'','\'(0.2-0.3]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',MIT
'\'(0.555-0.644]\'','\'(0.565-0.652]\'','\'(0.447-0.526]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',MIT
'\'(0.555-0.644]\'','\'(0.391-0.478]\'','\'(0.526-0.605]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',NUC
'\'(0.377-0.466]\'','\'(0.391-0.478]\'','\'(0.447-0.526]\'','\'(0.5-0.6]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',MIT
'\'(0.466-0.555]\'','\'(0.391-0.478]\'','\'(0.526-0.605]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(0.498-0.581]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',CYT
'\'(0.466-0.555]\'','\'(0.478-0.565]\'','\'(0.447-0.526]\'','\'(0.6-0.7]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',MIT
'\'(0.466-0.555]\'','\'(0.391-0.478]\'','\'(0.526-0.605]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.3-0.4]\'',NUC
'\'(0.466-0.555]\'','\'(0.478-0.565]\'','\'(0.605-0.684]\'','\'(0.3-0.4]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',MIT
'\'(0.377-0.466]\'','\'(0.304-0.391]\'','\'(0.526-0.605]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',CYT
'\'(0.377-0.466]\'','\'(0.304-0.391]\'','\'(0.526-0.605]\'','\'(0.2-0.3]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',NUC
'\'(0.377-0.466]\'','\'(0.304-0.391]\'','\'(0.526-0.605]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',NUC
'\'(0.377-0.466]\'','\'(0.391-0.478]\'','\'(0.526-0.605]\'','\'(0.3-0.4]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',CYT
'\'(0.555-0.644]\'','\'(0.391-0.478]\'','\'(0.447-0.526]\'','\'(0.4-0.5]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',MIT
'\'(0.644-0.733]\'','\'(0.478-0.565]\'','\'(0.447-0.526]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',MIT
'\'(0.377-0.466]\'','\'(0.391-0.478]\'','\'(0.447-0.526]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',CYT
'\'(0.466-0.555]\'','\'(0.304-0.391]\'','\'(0.447-0.526]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.3-0.4]\'',CYT
'\'(0.555-0.644]\'','\'(0.391-0.478]\'','\'(0.526-0.605]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',NUC
'\'(0.466-0.555]\'','\'(0.304-0.391]\'','\'(0.526-0.605]\'','\'(0.2-0.3]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',NUC
'\'(0.555-0.644]\'','\'(0.565-0.652]\'','\'(0.526-0.605]\'','\'(0.2-0.3]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',NUC
'\'(0.377-0.466]\'','\'(0.391-0.478]\'','\'(0.447-0.526]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',CYT
'\'(0.377-0.466]\'','\'(0.391-0.478]\'','\'(0.447-0.526]\'','\'(0.2-0.3]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',CYT
'\'(0.644-0.733]\'','\'(0.565-0.652]\'','\'(0.368-0.447]\'','\'(0.2-0.3]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',CYT
'\'(0.377-0.466]\'','\'(0.478-0.565]\'','\'(0.447-0.526]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',CYT
'\'(0.377-0.466]\'','\'(0.478-0.565]\'','\'(0.447-0.526]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',CYT
'\'(0.466-0.555]\'','\'(0.478-0.565]\'','\'(0.447-0.526]\'','\'(0.5-0.6]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',MIT
'\'(0.555-0.644]\'','\'(0.391-0.478]\'','\'(0.526-0.605]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.584-0.657]\'','\'(0.2-0.3]\'',CYT
'\'(0.555-0.644]\'','\'(0.391-0.478]\'','\'(0.526-0.605]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',CYT
'\'(0.555-0.644]\'','\'(0.652-0.739]\'','\'(0.526-0.605]\'','\'(0.2-0.3]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',MIT
'\'(0.733-0.822]\'','\'(0.826-0.913]\'','\'(0.289-0.368]\'','\'(0.3-0.4]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.3-0.4]\'',ME1
'\'(0.466-0.555]\'','\'(0.478-0.565]\'','\'(0.368-0.447]\'','\'(-inf-0.1]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.3-0.4]\'',NUC
'\'(0.466-0.555]\'','\'(0.478-0.565]\'','\'(0.368-0.447]\'','\'(0.8-0.9]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',MIT
'\'(0.377-0.466]\'','\'(0.565-0.652]\'','\'(0.605-0.684]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.4-0.5]\'',CYT
'\'(0.288-0.377]\'','\'(0.478-0.565]\'','\'(0.447-0.526]\'','\'(0.4-0.5]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',NUC
'\'(0.733-0.822]\'','\'(0.739-0.826]\'','\'(0.368-0.447]\'','\'(0.2-0.3]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.365-0.438]\'','\'(0.2-0.3]\'',ME1
'\'(0.733-0.822]\'','\'(0.652-0.739]\'','\'(0.447-0.526]\'','\'(0.3-0.4]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.365-0.438]\'','\'(0.2-0.3]\'',EXC
'\'(0.644-0.733]\'','\'(0.565-0.652]\'','\'(0.447-0.526]\'','\'(0.2-0.3]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',MIT
'\'(0.377-0.466]\'','\'(0.391-0.478]\'','\'(0.526-0.605]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',CYT
'\'(0.555-0.644]\'','\'(0.478-0.565]\'','\'(0.368-0.447]\'','\'(0.4-0.5]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',MIT
'\'(0.555-0.644]\'','\'(0.478-0.565]\'','\'(0.526-0.605]\'','\'(0.3-0.4]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',MIT
'\'(0.822-0.911]\'','\'(0.652-0.739]\'','\'(0.368-0.447]\'','\'(0.2-0.3]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',ME2
'\'(0.822-0.911]\'','\'(0.739-0.826]\'','\'(0.447-0.526]\'','\'(0.3-0.4]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.511-0.584]\'','\'(0.2-0.3]\'',ME2
'\'(0.733-0.822]\'','\'(0.565-0.652]\'','\'(0.368-0.447]\'','\'(0.2-0.3]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.584-0.657]\'','\'(0.2-0.3]\'',ME2
'\'(0.377-0.466]\'','\'(0.478-0.565]\'','\'(0.368-0.447]\'','\'(0.1-0.2]\'','\'(-inf-0.55]\'','\'(-inf-0.083]\'','\'(0.438-0.511]\'','\'(0.2-0.3]\'',ME3
