date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1/1/2015,Quarter1,sweing,Thursday,'\'(7.6-8.7]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.940725
1/1/2015,Quarter1,'finishing ',Thursday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.8865
1/1/2015,Quarter1,sweing,Thursday,'\'(10.9-inf)\'','\'(0.727-inf)\'','\'(8.066-13.232]\'','\'(-inf-2318.5]\'','\'(2592-5184]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(28.1-36.8]\'',0.80057
1/1/2015,Quarter1,sweing,Thursday,'\'(10.9-inf)\'','\'(0.727-inf)\'','\'(8.066-13.232]\'','\'(-inf-2318.5]\'','\'(2592-5184]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(28.1-36.8]\'',0.80057
1/1/2015,Quarter1,sweing,Thursday,'\'(5.4-6.5]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800382
1/1/2015,Quarter1,sweing,Thursday,'\'(6.5-7.6]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800125
1/1/2015,Quarter1,'finishing ',Thursday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.755167
1/1/2015,Quarter1,sweing,Thursday,'\'(2.1-3.2]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.753683
1/1/2015,Quarter1,sweing,Thursday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(18.398-23.564]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.753098
1/1/2015,Quarter1,sweing,Thursday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.750428
1/1/2015,Quarter1,sweing,Thursday,'\'(8.7-9.8]\'','\'(0.654-0.727]\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.721127
1/1/2015,Quarter1,sweing,Thursday,'\'(9.8-10.9]\'','\'(0.727-inf)\'','\'(18.398-23.564]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(45.5-54.2]\'',0.712205
1/1/2015,Quarter1,sweing,Thursday,'\'(4.3-5.4]\'','\'(0.727-inf)\'','\'(8.066-13.232]\'','\'(-inf-2318.5]\'','\'(2592-5184]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(28.1-36.8]\'',0.707046
1/1/2015,Quarter1,'finishing ',Thursday,'\'(9.8-10.9]\'','\'(0.581-0.654]\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.705917
1/1/2015,Quarter1,'finishing ',Thursday,'\'(7.6-8.7]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.676667
1/1/2015,Quarter1,'finishing ',Thursday,'\'(3.2-4.3]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(10.7-19.4]\'',0.593056
1/1/2015,Quarter1,'finishing ',Thursday,'\'(6.5-7.6]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.540729
1/1/2015,Quarter1,sweing,Thursday,'\'(3.2-4.3]\'','\'(0.581-0.654]\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.52118
