1,2,3,4,5,6,7,8,9,10
adviser,32/60,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(230.4-inf)\'','\'(15.6-20.8]\'','\'(123.2-140.8]\'','\'(120.4-234.8]\'',199
amdahl,470v/7,'\'(-inf-165.3]\'','\'(6451.2-9644.8]\'','\'(25638.4-32032]\'','\'(25.6-51.2]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(234.8-349.2]\'',253
amdahl,470v/7a,'\'(-inf-165.3]\'','\'(6451.2-9644.8]\'','\'(25638.4-32032]\'','\'(25.6-51.2]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(120.4-234.8]\'',253
amdahl,470v/7b,'\'(-inf-165.3]\'','\'(6451.2-9644.8]\'','\'(25638.4-32032]\'','\'(25.6-51.2]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(120.4-234.8]\'',253
amdahl,470v/7c,'\'(-inf-165.3]\'','\'(6451.2-9644.8]\'','\'(12851.2-19244.8]\'','\'(25.6-51.2]\'','\'(5.2-10.4]\'','\'(-inf-17.6]\'','\'(120.4-234.8]\'',132
amdahl,470v/b,'\'(-inf-165.3]\'','\'(6451.2-9644.8]\'','\'(25638.4-32032]\'','\'(51.2-76.8]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(234.8-349.2]\'',290
amdahl,580-5840,'\'(-inf-165.3]\'','\'(12838.4-16032]\'','\'(25638.4-32032]\'','\'(51.2-76.8]\'','\'(15.6-20.8]\'','\'(17.6-35.2]\'','\'(349.2-463.6]\'',381
amdahl,580-5850,'\'(-inf-165.3]\'','\'(12838.4-16032]\'','\'(25638.4-32032]\'','\'(51.2-76.8]\'','\'(15.6-20.8]\'','\'(17.6-35.2]\'','\'(463.6-578]\'',381
amdahl,580-5860,'\'(-inf-165.3]\'','\'(12838.4-16032]\'','\'(57606.4-inf)\'','\'(51.2-76.8]\'','\'(15.6-20.8]\'','\'(17.6-35.2]\'','\'(578-692.4]\'',749
amdahl,580-5880,'\'(-inf-165.3]\'','\'(28806.4-inf)\'','\'(57606.4-inf)\'','\'(102.4-128]\'','\'(31.2-36.4]\'','\'(52.8-70.4]\'','\'(1035.6-inf)\'',1238
apollo,dn320,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',23
apollo,dn420,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',24
basf,7/65,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(51.2-76.8]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',70
basf,7/68,'\'(-inf-165.3]\'','\'(3257.6-6451.2]\'','\'(12851.2-19244.8]\'','\'(51.2-76.8]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(120.4-234.8]\'',117
bti,5000,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',15
bti,8000,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(12851.2-19244.8]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',64
burroughs,b1955,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',23
burroughs,b2900,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',29
burroughs,b2925,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',22
burroughs,b4955,'\'(-inf-165.3]\'','\'(3257.6-6451.2]\'','\'(-inf-6457.6]\'','\'(128-153.6]\'','\'(5.2-10.4]\'','\'(52.8-70.4]\'','\'(-inf-120.4]\'',124
burroughs,b5900,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',35
burroughs,b5920,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',39
burroughs,b6900,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(5.2-10.4]\'','\'(52.8-70.4]\'','\'(-inf-120.4]\'',40
burroughs,b6925,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(5.2-10.4]\'','\'(52.8-70.4]\'','\'(-inf-120.4]\'',45
c.r.d,68/10-80,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',28
c.r.d,universe:2203t,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',21
c.r.d,universe:68,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',28
