1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
BRICKFACE,'\'(126.5-151.6]\'','\'(106.6-130.5]\'','\'All\'','\'(-inf-0.011111]\'','\'(-inf-0.022222]\'','\'(-inf-2.55]\'','\'(-inf-57.29964]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(-inf-14.344444]\'','\'(-inf-13.688889]\'','\'(-inf-15.088889]\'','\'(-inf-14.255556]\'','\'(0.377778-inf)\'','\'(-0.822222-8.022222]\'','\'(-9.577777--4.333332]\'','\'(-inf-15.088889]\'','\'(0.5-0.6]\'',-1.121818
BRICKFACE,'\'(176.7-201.8]\'','\'(130.5-154.4]\'','\'All\'','\'(-inf-0.011111]\'','\'(-inf-0.022222]\'','\'(-inf-2.55]\'','\'(-inf-57.29964]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(-inf-14.344444]\'','\'(-inf-13.688889]\'','\'(-inf-15.088889]\'','\'(-inf-14.255556]\'','\'(0.377778-inf)\'','\'(-0.822222-8.022222]\'','\'(-9.577777--4.333332]\'','\'(-inf-15.088889]\'','\'(0.5-0.6]\'',-0.924817
BRICKFACE,'\'(101.4-126.5]\'','\'(130.5-154.4]\'','\'All\'','\'(-inf-0.011111]\'','\'(-inf-0.022222]\'','\'(-inf-2.55]\'','\'(-inf-57.29964]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(-inf-14.344444]\'','\'(-inf-13.688889]\'','\'(-inf-15.088889]\'','\'(-inf-14.255556]\'','\'(0.377778-inf)\'','\'(-0.822222-8.022222]\'','\'(-9.577777--4.333332]\'','\'(-inf-15.088889]\'','\'(0.5-0.6]\'',-0.965946
BRICKFACE,'\'(26.1-51.2]\'','\'(130.5-154.4]\'','\'All\'','\'(-inf-0.011111]\'','\'(-inf-0.022222]\'','\'(-inf-2.55]\'','\'(-inf-57.29964]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(-inf-14.344444]\'','\'(-inf-13.688889]\'','\'(-inf-15.088889]\'','\'(-inf-14.255556]\'','\'(0.377778-inf)\'','\'(-0.822222-8.022222]\'','\'(-9.577777--4.333332]\'','\'(-inf-15.088889]\'','\'(0.5-0.6]\'',-0.744272
BRICKFACE,'\'(26.1-51.2]\'','\'(106.6-130.5]\'','\'All\'','\'(-inf-0.011111]\'','\'(-inf-0.022222]\'','\'(-inf-2.55]\'','\'(-inf-57.29964]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(-inf-14.344444]\'','\'(-inf-13.688889]\'','\'(-inf-15.088889]\'','\'(-inf-14.255556]\'','\'(0.377778-inf)\'','\'(-0.822222-8.022222]\'','\'(-9.577777--4.333332]\'','\'(-inf-15.088889]\'','\'(0.5-0.6]\'',-1.175773
BRICKFACE,'\'(-inf-26.1]\'','\'(106.6-130.5]\'','\'All\'','\'(-inf-0.011111]\'','\'(-inf-0.022222]\'','\'(-inf-2.55]\'','\'(-inf-57.29964]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(-inf-14.344444]\'','\'(-inf-13.688889]\'','\'(-inf-15.088889]\'','\'(-inf-14.255556]\'','\'(0.377778-inf)\'','\'(-0.822222-8.022222]\'','\'(-9.577777--4.333332]\'','\'(-inf-15.088889]\'','\'(0.5-0.6]\'',-0.985811
BRICKFACE,'\'(-inf-26.1]\'','\'(58.8-82.7]\'','\'All\'','\'(0.1-inf)\'','\'(-inf-0.022222]\'','\'(-inf-2.55]\'','\'(-inf-57.29964]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(14.344444-28.688888]\'','\'(13.688889-27.377778]\'','\'(15.088889-30.177778]\'','\'(14.255556-28.511112]\'','\'(-5.022222-0.377778]\'','\'(16.866667-25.711112]\'','\'(-20.066666--14.822221]\'','\'(15.088889-30.177778]\'','\'(0.4-0.5]\'',-1.623202
BRICKFACE,'\'(-inf-26.1]\'','\'(106.6-130.5]\'','\'All\'','\'(-inf-0.011111]\'','\'(-inf-0.022222]\'','\'(-inf-2.55]\'','\'(-inf-57.29964]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(14.344444-28.688888]\'','\'(13.688889-27.377778]\'','\'(15.088889-30.177778]\'','\'(-inf-14.255556]\'','\'(0.377778-inf)\'','\'(8.022222-16.866667]\'','\'(-14.822221--9.577777]\'','\'(15.088889-30.177778]\'','\'(0.3-0.4]\'',-1.345096
BRICKFACE,'\'(-inf-26.1]\'','\'(106.6-130.5]\'','\'All\'','\'(-inf-0.011111]\'','\'(-inf-0.022222]\'','\'(-inf-2.55]\'','\'(-inf-57.29964]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(14.344444-28.688888]\'','\'(13.688889-27.377778]\'','\'(15.088889-30.177778]\'','\'(-inf-14.255556]\'','\'(0.377778-inf)\'','\'(8.022222-16.866667]\'','\'(-14.822221--9.577777]\'','\'(15.088889-30.177778]\'','\'(0.3-0.4]\'',-1.302133
BRICKFACE,'\'(76.3-101.4]\'','\'(82.7-106.6]\'','\'All\'','\'(-inf-0.011111]\'','\'(-inf-0.022222]\'','\'(-inf-2.55]\'','\'(-inf-57.29964]\'','\'(-inf-4.472222]\'','\'(-inf-138.63292]\'','\'(14.344444-28.688888]\'','\'(13.688889-27.377778]\'','\'(15.088889-30.177778]\'','\'(14.255556-28.511112]\'','\'(-5.022222-0.377778]\'','\'(8.022222-16.866667]\'','\'(-20.066666--14.822221]\'','\'(15.088889-30.177778]\'','\'(0.4-0.5]\'',-1.558599
