school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,'\'(17.8-18.5]\'',U,GT3,A,'\'(3.6-inf)\'','\'(3.6-inf)\'',at_home,teacher,course,mother,'\'(1.9-2.2]\'','\'(1.9-2.2]\'','\'(-inf-0.3]\'',yes,no,no,no,yes,yes,no,no,'\'(3.8-4.2]\'','\'(2.6-3]\'','\'(3.8-4.2]\'','\'(-inf-1.4]\'','\'(-inf-1.4]\'','\'(2.6-3]\'','\'(3.2-6.4]\'','\'(-inf-1.9]\'','\'(9.5-11.4]\'',11
GP,F,'\'(16.4-17.1]\'',U,GT3,T,'\'(0.8-1.2]\'','\'(0.8-1.2]\'',at_home,other,course,father,'\'(-inf-1.3]\'','\'(1.9-2.2]\'','\'(-inf-0.3]\'',no,yes,no,no,no,yes,yes,no,'\'(4.6-inf)\'','\'(2.6-3]\'','\'(2.6-3]\'','\'(-inf-1.4]\'','\'(-inf-1.4]\'','\'(2.6-3]\'','\'(-inf-3.2]\'','\'(7.6-9.5]\'','\'(9.5-11.4]\'',11
GP,F,'\'(-inf-15.7]\'',U,LE3,T,'\'(0.8-1.2]\'','\'(0.8-1.2]\'',at_home,other,other,mother,'\'(-inf-1.3]\'','\'(1.9-2.2]\'','\'(-inf-0.3]\'',yes,no,no,no,yes,yes,yes,no,'\'(3.8-4.2]\'','\'(2.6-3]\'','\'(1.8-2.2]\'','\'(1.8-2.2]\'','\'(2.6-3]\'','\'(2.6-3]\'','\'(3.2-6.4]\'','\'(11.4-13.3]\'','\'(11.4-13.3]\'',12
GP,F,'\'(-inf-15.7]\'',U,GT3,T,'\'(3.6-inf)\'','\'(1.6-2]\'',health,services,home,mother,'\'(-inf-1.3]\'','\'(2.8-3.1]\'','\'(-inf-0.3]\'',no,yes,no,yes,yes,yes,yes,yes,'\'(2.6-3]\'','\'(1.8-2.2]\'','\'(1.8-2.2]\'','\'(-inf-1.4]\'','\'(-inf-1.4]\'','\'(4.6-inf)\'','\'(-inf-3.2]\'','\'(13.3-15.2]\'','\'(13.3-15.2]\'',14
GP,F,'\'(15.7-16.4]\'',U,GT3,T,'\'(2.8-3.2]\'','\'(2.8-3.2]\'',other,other,home,father,'\'(-inf-1.3]\'','\'(1.9-2.2]\'','\'(-inf-0.3]\'',no,yes,no,no,yes,yes,no,no,'\'(3.8-4.2]\'','\'(2.6-3]\'','\'(1.8-2.2]\'','\'(-inf-1.4]\'','\'(1.8-2.2]\'','\'(4.6-inf)\'','\'(-inf-3.2]\'','\'(9.5-11.4]\'','\'(11.4-13.3]\'',13
GP,M,'\'(15.7-16.4]\'',U,LE3,T,'\'(3.6-inf)\'','\'(2.8-3.2]\'',services,other,reputation,mother,'\'(-inf-1.3]\'','\'(1.9-2.2]\'','\'(-inf-0.3]\'',no,yes,no,yes,yes,yes,yes,no,'\'(4.6-inf)\'','\'(3.8-4.2]\'','\'(1.8-2.2]\'','\'(-inf-1.4]\'','\'(1.8-2.2]\'','\'(4.6-inf)\'','\'(3.2-6.4]\'','\'(11.4-13.3]\'','\'(11.4-13.3]\'',13
GP,M,'\'(15.7-16.4]\'',U,LE3,T,'\'(1.6-2]\'','\'(1.6-2]\'',other,other,home,mother,'\'(-inf-1.3]\'','\'(1.9-2.2]\'','\'(-inf-0.3]\'',no,no,no,no,yes,yes,yes,no,'\'(3.8-4.2]\'','\'(3.8-4.2]\'','\'(3.8-4.2]\'','\'(-inf-1.4]\'','\'(-inf-1.4]\'','\'(2.6-3]\'','\'(-inf-3.2]\'','\'(11.4-13.3]\'','\'(11.4-13.3]\'',13
GP,F,'\'(16.4-17.1]\'',U,GT3,A,'\'(3.6-inf)\'','\'(3.6-inf)\'',other,teacher,home,mother,'\'(1.9-2.2]\'','\'(1.9-2.2]\'','\'(-inf-0.3]\'',yes,yes,no,no,yes,yes,no,no,'\'(3.8-4.2]\'','\'(-inf-1.4]\'','\'(3.8-4.2]\'','\'(-inf-1.4]\'','\'(-inf-1.4]\'','\'(-inf-1.4]\'','\'(-inf-3.2]\'','\'(9.5-11.4]\'','\'(11.4-13.3]\'',13
GP,M,'\'(-inf-15.7]\'',U,LE3,A,'\'(2.8-3.2]\'','\'(1.6-2]\'',services,other,home,mother,'\'(-inf-1.3]\'','\'(1.9-2.2]\'','\'(-inf-0.3]\'',no,yes,no,no,yes,yes,yes,no,'\'(3.8-4.2]\'','\'(1.8-2.2]\'','\'(1.8-2.2]\'','\'(-inf-1.4]\'','\'(-inf-1.4]\'','\'(-inf-1.4]\'','\'(-inf-3.2]\'','\'(13.3-15.2]\'','\'(15.2-17.1]\'',17
GP,M,'\'(-inf-15.7]\'',U,GT3,T,'\'(2.8-3.2]\'','\'(3.6-inf)\'',other,other,home,mother,'\'(-inf-1.3]\'','\'(1.9-2.2]\'','\'(-inf-0.3]\'',no,yes,no,yes,yes,yes,yes,no,'\'(4.6-inf)\'','\'(4.6-inf)\'','\'(-inf-1.4]\'','\'(-inf-1.4]\'','\'(-inf-1.4]\'','\'(4.6-inf)\'','\'(-inf-3.2]\'','\'(11.4-13.3]\'','\'(11.4-13.3]\'',13
